"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"010101","1","1.1","1.1.1","SI_POV_DAY1","SD                                                                          Proportion of population below the international poverty line of US$1.90 per day","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","26.30","NA","","","","","20.90","NA","","","","","","","","","16.30","NA","","","12.70","NA","","","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","15 - 24","Female","Not available","","","","","","","","","","","","","","","","","","","","","35.30","NA, 38, 85","","","","","","","","","24.60","NA, 38, 85","","","","","","","","","19.60","NA, 38, 85","","","","","","","","","15.50","NA, 38, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","15 - 24","Male","Not available","","","","","","","","","","","","","","","","","","","","","33.00","NA, 38, 85","","","","","","","","","24.60","NA, 38, 85","","","","","","","","","20.30","NA, 38, 85","","","","","","","","","15.40","NA, 38, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","15 - 24","Total","Not available","","","","","","","","","","","","","","","","","","","","","33.90","NA, 39, 85","","","","","","","","","24.60","NA, 39, 85","","","","","","","","","20.00","NA, 39, 85","","","","","","","","","15.50","NA, 39, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","15+","Female","Not available","","","","","","","","","","","","","","","","","","","","","28.40","NA, 38, 85","","","","","","","","","18.50","NA, 38, 85","","","","","","","","","13.80","NA, 38, 85","","","","","","","","","10.20","NA, 38, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","15+","Male","Not available","","","","","","","","","","","","","","","","","","","","","27.00","NA, 38, 85","","","","","","","","","18.70","NA, 38, 85","","","","","","","","","14.80","NA, 38, 85","","","","","","","","","10.20","NA, 38, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","15+","Total","Not available","","","","","","","","","","","","","","","","","","","","","27.50","NA, 39, 85","","","","","","","","","18.60","NA, 39, 85","","","","","","","","","14.40","NA, 39, 85","","","","","","","","","10.20","NA, 39, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","25+","Female","Not available","","","","","","","","","","","","","","","","","","","","","26.70","NA, 38, 85","","","","","","","","","17.10","NA, 38, 85","","","","","","","","","12.70","NA, 38, 85","","","","","","","","","9.30","NA, 38, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","25+","Male","Not available","","","","","","","","","","","","","","","","","","","","","25.60","NA, 38, 85","","","","","","","","","17.30","NA, 38, 85","","","","","","","","","13.70","NA, 38, 85","","","","","","","","","9.30","NA, 38, 85","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01000000","World","False","False","False","Annual","Percent (Units)","Total","25+","Total","Not available","","","","","","","","","","","","","","","","","","","","","26.00","NA, 39, 85","","","","","","","","","17.20","NA, 39, 85","","","","","","","","","13.30","NA, 39, 85","","","","","","","","","9.30","NA, 39, 85","",""
