"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"010101","1","1.1","1.1.1","SI_POV_DAY1","SD                                                                          Proportion of population below the international poverty line of US$1.90 per day","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","20.56","G, 81, 186","","","20.76","G, 81, 186","19.92","G, 81, 186","","","12.99","G, 81, 186","14.17","G, 81, 186","13.99","G, 81, 186","12.71","G, 81, 186","13.36","G, 81, 186","","","13.62","G, 81, 186","12.31","G, 81, 186","12.71","G, 81, 186","11.04","G, 81, 186","9.55","G, 81, 186","7.94","G, 81, 186","7.60","G, 81, 186","6.29","G, 81, 186","6.18","G, 81, 186","","","5.50","G, 81, 186","4.59","G, 81, 186","4.87","G, 81, 186","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","15 - 24","Female","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.16","E, 132","7.24","E, 132","7.74","E, 132","7.81","E, 132","6.62","E, 132","5.49","E, 132","4.95","E, 132","3.94","E, 132","3.51","E, 132","","","2.66","E, 132","1.97","E, 132","2.00","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","15 - 24","Male","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.25","E, 132","8.40","E, 132","8.29","E, 132","8.79","E, 132","7.45","E, 132","6.53","E, 132","5.51","E, 132","4.12","E, 132","4.12","E, 132","","","3.68","E, 132","3.01","E, 132","3.03","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","15 - 24","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.83","E, 132","7.95","E, 132","8.08","E, 132","8.41","E, 132","7.12","E, 132","6.12","E, 132","5.29","E, 132","4.05","E, 132","3.88","E, 132","","","3.27","E, 132","2.59","E, 132","2.61","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","15+","Female","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.75","E, 132","7.77","E, 132","8.12","E, 132","6.42","E, 132","5.64","E, 132","4.53","E, 132","4.23","E, 132","3.33","E, 132","3.08","E, 132","","","2.39","E, 132","1.85","E, 132","1.93","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","15+","Male","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.01","E, 132","8.41","E, 132","8.38","E, 132","7.04","E, 132","6.02","E, 132","4.90","E, 132","4.39","E, 132","3.41","E, 132","3.30","E, 132","","","2.74","E, 132","2.21","E, 132","2.29","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","15+","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.91","E, 132","8.15","E, 132","8.27","E, 132","6.79","E, 132","5.86","E, 132","4.74","E, 132","4.32","E, 132","3.38","E, 132","3.21","E, 132","","","2.60","E, 132","2.06","E, 132","2.14","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","25+","Female","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.92","E, 132","7.92","E, 132","8.22","E, 132","6.05","E, 132","5.39","E, 132","4.29","E, 132","4.05","E, 132","3.18","E, 132","2.98","E, 132","","","2.33","E, 132","1.82","E, 132","1.92","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","25+","Male","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.94","E, 132","8.42","E, 132","8.41","E, 132","6.52","E, 132","5.60","E, 132","4.44","E, 132","4.08","E, 132","3.22","E, 132","3.10","E, 132","","","2.53","E, 132","2.03","E, 132","2.14","M, 132","","","","","",""
"010101","1","1.1","1.1.1","SI_POV_EMP1","SD                                                                          Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","25+","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.93","E, 132","8.21","E, 132","8.33","E, 132","6.33","E, 132","5.51","E, 132","4.38","E, 132","4.07","E, 132","3.21","E, 132","3.05","E, 132","","","2.45","E, 132","1.94","E, 132","2.05","M, 132","","","","","",""
